80000400,entrypoint
80000450,bootproc
8003528C,func_8003528C_RomToRam
800458F0,func_800458F0
80046370,memcpy
80049220,func_80049220
8004FA10,bcopy
8004FD20,func_8004FD20
800503D0,osVirtualToPhysical
80050CF0,__d_to_ll
80050D0C,__f_to_ll
80050D28,__d_to_ull
80050DC8,__f_to_ull
80050E64,__ll_to_d
80050E7C,__ll_to_f
80050E94,__ull_to_d
80050EC8,__ull_to_f
80051170,__ull_rshift
8005119C,__ull_rem
800511D8,__ull_div
80051214,__ll_lshift
80051240,__ll_rem
8005127C,__ll_div
800512D8,__ll_mul
80051308,__ull_divremi
80051368,__ll_mod
80051404,__ll_rshift
80051720,osSetIntMask
80052220,osSpTaskYield
80052240,osSpTaskYielded
800522C0,_VirtualToPhysicalTask
800523DC,osSpTaskLoad
8005256C,func_8005256C
80054C80,__osExceptionPreamble
80054C90,__osException
800551C4,send_mesg
80055278,handle_CpU
800552AC,__osEnqueueAndYield
800553AC,__osEnqueueThread
800553F4,__osPopThread
80055404,__osDispatchThread
80055580,__osCleanupThread
80057380,__osProbeTLB
80057C80,_Putfld
800582F0,_Printf
800594A0,__osSpSetStatus
800594B0,__osSpGetStatus
800594C0,__osSpRawStartDma
80059550,__osSpDeviceBusy
8005C510,__osSetCompare
8005C520,_Litob
8005D7A0,lldiv
80052900,__cosf
80052740,__sinf
